run_id,run_date,model,vignette,temperature,slice,n_trials,mode,validity_rate,jaccard_all,jaccard_valid,modal_set_agreement,bertscore_f1,bertscore_precision,bertscore_recall,alignment_mean,alignment_n_judged,alignment_n_errors,alignment_n_skipped,alignment_pro_fallback,n_confrontation,n_self_empowerment,n_safety,n_cognitive_reframe,n_social_support,n_sensory_modulation,align_confrontation,align_self_empowerment,align_safety,align_cognitive_reframe,align_social_support,align_sensory_modulation,tier
20260730_163636_mistral_small4_resistant,20260730,mistral_small4,resistant,0.15,,20,fused,1.0,1.0,1.0,1.0,0.6984032988548279,0.6950593590736389,0.7022432088851929,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
20260730_163717_mistral_small4_resistant,20260730,mistral_small4,resistant,0.3,,20,fused,1.0,0.9333333333333336,0.9333333333333336,0.95,0.6969467997550964,0.6975481510162354,0.6966589689254761,,0,0,0,0,0,1,20,19,0,0,,,,,,,experiment
20260730_163748_mistral_small4_resistant,20260730,mistral_small4,resistant,0.6,,20,fused,1.0,0.9333333333333337,0.9333333333333337,0.95,0.6606993079185486,0.664434552192688,0.6576805114746094,,0,0,0,0,0,0,20,19,1,0,,,,,,,experiment
20260730_163831_mistral_small4_skeptic,20260730,mistral_small4,skeptic,0.0,,20,fused,1.0,0.8210526315789475,0.8210526315789475,0.85,0.7841646075248718,0.7799053192138672,0.7892295718193054,,0,0,0,0,0,0,17,3,0,20,,,,,,,experiment
20260730_163904_mistral_small4_skeptic,20260730,mistral_small4,skeptic,0.075,,20,fused,1.0,0.7754385964912279,0.7754385964912279,0.8,0.7551796436309814,0.7565776705741882,0.754801869392395,,0,0,0,0,0,0,16,4,0,20,,,,,,,experiment
20260730_163941_mistral_small4_skeptic,20260730,mistral_small4,skeptic,0.15,,20,fused,1.0,0.5614035087719289,0.5614035087719289,0.45,0.7130740284919739,0.7185888886451721,0.7085866928100586,,0,0,0,0,2,1,9,8,0,20,,,,,,,experiment
20260730_164016_mistral_small4_skeptic,20260730,mistral_small4,skeptic,0.3,,20,fused,1.0,0.6175438596491218,0.6175438596491218,0.5,0.7018730044364929,0.6991510391235352,0.7056836485862732,,0,0,0,0,1,0,9,10,0,20,,,,,,,experiment
20260730_164054_mistral_small4_skeptic,20260730,mistral_small4,skeptic,0.6,,20,fused,1.0,0.48947368421052534,0.48947368421052534,0.4,0.687985360622406,0.6880048513412476,0.6890656352043152,,0,0,0,0,2,3,7,9,0,19,,,,,,,experiment
20260730_164129_mistral_small4_trauma,20260730,mistral_small4,trauma,0.0,,20,fused,1.0,1.0,1.0,1.0,0.7336975336074829,0.728732168674469,0.7396929860115051,,0,0,0,0,20,20,0,0,0,0,,,,,,,experiment
20260730_164159_mistral_small4_trauma,20260730,mistral_small4,trauma,0.075,,20,fused,1.0,1.0,1.0,1.0,0.7132484912872314,0.7112929224967957,0.716022789478302,,0,0,0,0,20,20,0,0,0,0,,,,,,,experiment
20260730_164234_mistral_small4_trauma,20260730,mistral_small4,trauma,0.15,,20,fused,1.0,1.0,1.0,1.0,0.7033836841583252,0.7046270966529846,0.7027502655982971,,0,0,0,0,20,20,0,0,0,0,,,,,,,experiment
20260730_164304_mistral_small4_trauma,20260730,mistral_small4,trauma,0.3,,20,fused,1.0,1.0,1.0,1.0,0.6936540007591248,0.6952114701271057,0.6930615305900574,,0,0,0,0,20,20,0,0,0,0,,,,,,,experiment
20260730_164336_mistral_small4_trauma,20260730,mistral_small4,trauma,0.6,,20,fused,1.0,1.0,1.0,1.0,0.655415952205658,0.6610245108604431,0.6507973670959473,,0,0,0,0,20,20,0,0,0,0,,,,,,,experiment
20260730_164411_qwen35_122b_anxious,20260730,qwen35_122b,anxious,0.0,,20,fused,1.0,1.0,1.0,1.0,0.8878750205039978,0.879449725151062,0.8968316912651062,,0,0,0,0,0,0,0,20,0,20,,,,,,,experiment
20260730_164438_qwen35_122b_anxious,20260730,qwen35_122b,anxious,0.075,,20,fused,1.0,1.0,1.0,1.0,0.7858102321624756,0.7879167795181274,0.7847097516059875,,0,0,0,0,0,0,0,20,0,20,,,,,,,experiment
20260730_164509_qwen35_122b_anxious,20260730,qwen35_122b,anxious,0.15,,20,fused,1.0,1.0,1.0,1.0,0.7749722003936768,0.7720231413841248,0.7789470553398132,,0,0,0,0,0,0,0,20,0,20,,,,,,,experiment
20260730_164541_qwen35_122b_anxious,20260730,qwen35_122b,anxious,0.3,,20,fused,1.0,1.0,1.0,1.0,0.7513991594314575,0.7507084608078003,0.7525337338447571,,0,0,0,0,0,0,0,20,0,20,,,,,,,experiment
20260730_164611_qwen35_122b_anxious,20260730,qwen35_122b,anxious,0.6,,20,fused,1.0,0.6824561403508761,0.6824561403508761,0.75,0.7204247117042542,0.7193201184272766,0.722257137298584,,0,0,0,0,0,5,1,17,0,17,,,,,,,experiment
20260730_165817_qwen35_122b_avoidant,20260730,qwen35_122b,avoidant,0.0,,20,fused,1.0,1.0,1.0,1.0,0.9887645244598389,0.9892920255661011,0.9884118437767029,,0,0,0,0,0,20,20,0,0,0,,,,,,,experiment
20260730_165846_qwen35_122b_avoidant,20260730,qwen35_122b,avoidant,0.075,,20,fused,1.0,0.9333333333333338,0.9333333333333338,0.95,0.8638702630996704,0.862460196018219,0.8664601445198059,,0,0,0,0,0,19,20,1,0,0,,,,,,,experiment
20260730_165918_qwen35_122b_avoidant,20260730,qwen35_122b,avoidant,0.15,,20,fused,1.0,0.7754385964912281,0.7754385964912281,0.8,0.8111257553100586,0.8099295496940613,0.8130019307136536,,0,0,0,0,0,16,20,4,0,0,,,,,,,experiment
20260730_165946_qwen35_122b_avoidant,20260730,qwen35_122b,avoidant,0.3,,20,fused,1.0,0.6807017543859639,0.6807017543859639,0.65,0.7557083368301392,0.7555055022239685,0.7561312913894653,,0,0,0,0,0,13,20,7,0,0,,,,,,,experiment
20260730_170017_qwen35_122b_avoidant,20260730,qwen35_122b,avoidant,0.6,,20,fused,1.0,0.7754385964912273,0.7754385964912273,0.8,0.708713710308075,0.7123518586158752,0.7054886817932129,,0,0,0,0,0,16,20,4,0,0,,,,,,,experiment
20260730_170048_qwen35_122b_cooperative,20260730,qwen35_122b,cooperative,0.0,,20,fused,1.0,1.0,1.0,1.0,0.9321945309638977,0.9295952916145325,0.9349579811096191,,0,0,0,0,0,20,0,0,0,20,,,,,,,experiment
20260730_170122_qwen35_122b_cooperative,20260730,qwen35_122b,cooperative,0.075,,20,fused,1.0,1.0,1.0,1.0,0.8252081871032715,0.8271058201789856,0.823918879032135,,0,0,0,0,0,20,0,0,0,20,,,,,,,experiment
20260730_170157_qwen35_122b_cooperative,20260730,qwen35_122b,cooperative,0.15,,20,fused,1.0,1.0,1.0,1.0,0.7604020833969116,0.7678701281547546,0.7537643313407898,,0,0,0,0,0,20,0,0,0,20,,,,,,,experiment
20260730_170228_qwen35_122b_cooperative,20260730,qwen35_122b,cooperative,0.3,,20,fused,1.0,1.0,1.0,1.0,0.7663623094558716,0.7633197903633118,0.7703489661216736,,0,0,0,0,0,20,0,0,0,20,,,,,,,experiment
20260730_170301_qwen35_122b_cooperative,20260730,qwen35_122b,cooperative,0.6,,20,fused,1.0,1.0,1.0,1.0,0.7425587177276611,0.739748477935791,0.7462518215179443,,0,0,0,0,0,20,0,0,0,20,,,,,,,experiment
20260730_170333_qwen35_122b_resistant,20260730,qwen35_122b,resistant,0.0,,20,fused,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0,0,0,0,0,0,0,20,20,,,,,,,experiment
20260730_170359_qwen35_122b_resistant,20260730,qwen35_122b,resistant,0.075,,20,fused,1.0,1.0,1.0,1.0,0.8445524573326111,0.8451711535453796,0.8440022468566895,,0,0,0,0,0,0,0,0,20,20,,,,,,,experiment
20260730_170429_qwen35_122b_resistant,20260730,qwen35_122b,resistant,0.15,,20,fused,1.0,0.8105263157894739,0.8105263157894739,0.85,0.7409637570381165,0.7414554953575134,0.7409422397613525,,0,0,0,0,0,0,2,1,19,18,,,,,,,experiment
20260730_170500_qwen35_122b_resistant,20260730,qwen35_122b,resistant,0.3,,20,fused,1.0,0.5649122807017536,0.5649122807017536,0.6,0.719008207321167,0.7193233966827393,0.719285249710083,,0,0,0,0,0,0,6,3,17,14,,,,,,,experiment
20260730_170537_qwen35_122b_resistant,20260730,qwen35_122b,resistant,0.6,,20,fused,1.0,0.4526315789473682,0.4526315789473682,0.4,0.707596480846405,0.7076073884963989,0.7080972790718079,,0,0,0,0,0,0,7,6,14,13,,,,,,,experiment
20260730_170610_qwen35_122b_skeptic,20260730,qwen35_122b,skeptic,0.0,,20,fused,1.0,1.0,1.0,1.0,1.0000001192092896,1.0000001192092896,1.0000001192092896,,0,0,0,0,0,20,0,0,0,20,,,,,,,experiment
20260730_170636_qwen35_122b_skeptic,20260730,qwen35_122b,skeptic,0.075,,20,fused,1.0,1.0,1.0,1.0,0.7972731590270996,0.7955044507980347,0.799313485622406,,0,0,0,0,0,20,0,0,0,20,,,,,,,experiment
20260730_170706_qwen35_122b_skeptic,20260730,qwen35_122b,skeptic,0.15,,20,fused,1.0,1.0,1.0,1.0,0.7525951266288757,0.753486692905426,0.7521200776100159,,0,0,0,0,0,20,0,0,0,20,,,,,,,experiment
20260730_170738_qwen35_122b_skeptic,20260730,qwen35_122b,skeptic,0.3,,20,fused,1.0,1.0,1.0,1.0,0.7212716937065125,0.720065176486969,0.7229103446006775,,0,0,0,0,0,20,0,0,0,20,,,,,,,experiment
20260730_170810_qwen35_122b_skeptic,20260730,qwen35_122b,skeptic,0.6,,20,fused,1.0,0.9333333333333337,0.9333333333333337,0.95,0.7137253880500793,0.7144488096237183,0.7135431170463562,,0,0,0,0,0,19,1,0,0,20,,,,,,,experiment
20260730_170841_qwen35_122b_trauma,20260730,qwen35_122b,trauma,0.0,,20,fused,1.0,1.0,1.0,1.0,0.9948110580444336,0.9947847127914429,0.9948374032974243,,0,0,0,0,0,20,0,0,0,20,,,,,,,experiment
20260730_170910_qwen35_122b_trauma,20260730,qwen35_122b,trauma,0.075,,20,fused,1.0,1.0,1.0,1.0,0.8843950629234314,0.8863326907157898,0.8825985789299011,,0,0,0,0,0,20,0,0,0,20,,,,,,,experiment
20260730_170939_qwen35_122b_trauma,20260730,qwen35_122b,trauma,0.15,,20,fused,1.0,0.9333333333333329,0.9333333333333329,0.95,0.7551264762878418,0.758816659450531,0.7516999840736389,,0,0,0,0,0,20,0,1,0,19,,,,,,,experiment
20260730_171009_qwen35_122b_trauma,20260730,qwen35_122b,trauma,0.3,,20,fused,1.0,0.6105263157894724,0.6105263157894724,0.6,0.6815367341041565,0.6787130832672119,0.6848806142807007,,0,0,0,0,3,20,0,5,0,12,,,,,,,experiment
20260730_171039_qwen35_122b_trauma,20260730,qwen35_122b,trauma,0.6,,20,fused,1.0,0.575438596491227,0.575438596491227,0.5,0.6763758659362793,0.6745505928993225,0.6786836385726929,,0,0,0,0,3,20,0,7,0,10,,,,,,,experiment
20260730_153246_qwen35_27b_anxious,20260730,qwen35_27b,anxious,0.0,,20,fused,1.0,1.0,1.0,1.0,0.9070455431938171,0.9088147878646851,0.9053257703781128,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
20260730_153351_qwen35_27b_anxious,20260730,qwen35_27b,anxious,0.075,,20,fused,1.0,1.0,1.0,1.0,0.9088669419288635,0.9095304608345032,0.9082652926445007,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
